"8f98c83","phenchua29","Thu, 26 Oct 2023 00:12:53 +0700","Update method logic for new date time system compatibility",	 1 file changed, 132 insertions(+), 104 deletions(-)	
"d928a98","lebathinh2003","Wed, 25 Oct 2023 23:31:21 +0700","fix bug import, them dieu huong import",	 16 files changed, 663 insertions(+), 32 deletions(-)	
"34e5885","Carl-Johnsons","Wed, 25 Oct 2023 23:09:56 +0700","add template for CRUD voucher in controller",	 1 file changed, 33 insertions(+), 8 deletions(-)	
"a22bbfc","Carl-Johnsons","Wed, 25 Oct 2023 22:43:21 +0700","Minus item when order manager accepting order",	 3 files changed, 147 insertions(+), 71 deletions(-)	
"5116696","phenchua29","Wed, 25 Oct 2023 22:30:51 +0700","Update method's logic",	 1 file changed, 3 insertions(+), 2 deletions(-)	
"bd93fbb","phenchua29","Wed, 25 Oct 2023 22:28:25 +0700","Fix method's logic",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"89626b9","phenchua29","Wed, 25 Oct 2023 22:26:53 +0700","Add new method for generating time range in a day",	 1 file changed, 26 insertions(+), 4 deletions(-)	
"2be4e79","Quốc Zương","Wed, 25 Oct 2023 20:47:56 +0700","fix bug front end order detail page",	 1 file changed, 10 insertions(+), 1 deletion(-)	
"ce47e8d","Quốc Zương","Wed, 25 Oct 2023 20:33:30 +0700","add button for inventory manager",	 2 files changed, 9 insertions(+), 1 deletion(-)	
"ffc37a7","Carl-Johnsons","Wed, 25 Oct 2023 20:27:27 +0700","Fix routing after login",	 3 files changed, 430 insertions(+), 460 deletions(-)	
"c2e40a2","phenchua29","Wed, 25 Oct 2023 20:18:05 +0700","Update prevention system",	 1 file changed, 3 insertions(+), 1 deletion(-)	
"c991b4d","Quốc Zương","Wed, 25 Oct 2023 20:11:54 +0700","fix bug price in product list page",	 18 files changed, 502 insertions(+), 969 deletions(-)	
"b8f28fd","phenchua29","Wed, 25 Oct 2023 17:33:42 +0700","Update new js for disabled button",	 1 file changed, 13 insertions(+)	
"0221f11","phenchua29","Wed, 25 Oct 2023 17:33:34 +0700","Update new css for disabled button",	 1 file changed, 4 insertions(+)	
"842e6d7","phenchua29","Wed, 25 Oct 2023 17:33:17 +0700","Change route links, turn off the ability to interact with order that is not pending",	 4 files changed, 24 insertions(+), 20 deletions(-)	
